field of sort: Date | direction of sorting is: From smaller to larger

|-----------|----------------------------------|------------------------|-----------------|-----------------|
|13.08.2009 |                           Europe |                Belarus |      Lukashenko |        Telegram |
|13.08.2009 |           Volokolamskoe avenue 6 |                    Mai |        Pogosyan |        Telegram |
|20.08.2009 |                           Europe |                Belarus |      Lukashenko |           Email |
|28.08.2009 |           Polickarpov street 23A |                    Uac |          Slysar |           Email |
|13.09.2009 |                           Europe |                Belarus |      Lukashenko |        Telegram |
|28.01.2011 |           Polickarpov street 23A |                    Uac |          Slysar |           Email |
|20.01.2012 |           Polickarpov street 23A |                    Uac |          Slysar |            Post |
|20.02.2012 |                           Europe |                Belarus |      Lukashenko |           Email |
|13.08.2012 |           Polickarpov street 23A |                    Uac |          Slysar |        Telegram |
|13.12.2013 |           Polickarpov street 23A |                    Uac |          Slysar |           Email |
|25.04.2014 |                           Europe |                Belarus |      Lukashenko |           Email |
|26.07.2014 |                           Europe |                Belarus |      Lukashenko |           Email |
|19.07.2015 |                           Europe |                Belarus |      Lukashenko |   Small Package |
|19.07.2015 |           Polickarpov street 23A |                    Uac |          Slysar |   Small Package |
|28.12.2015 |           Polickarpov street 23A |                    Uac |          Slysar |           Email |
|14.08.2017 |                           Europe |                Belarus |      Lukashenko |            Post |
|30.03.2018 |                                - |                  MIREA |               - |          Parcel |
|28.03.2019 |           Volokolamskoe avenue 6 |                    Mai |        Pogosyan |           Email |
|18.08.2019 |           Polickarpov street 23A |                    Uac |          Slysar |           Email |
|18.08.2019 |           Volokolamskoe avenue 6 |                    Mai |        Pogosyan |           Email |
|28.08.2019 |                           Europe |                Belarus |      Lukashenko |           Email |
|28.08.2019 |           Volokolamskoe avenue 6 |                    Mai |        Pogosyan |           Email |
|28.08.2019 |                           Europe |                Belarus |      Lukashenko |           Email |
|18.09.2023 |                           Europe |                Belarus |      Lukashenko |           Email |
|20.08.2024 |                           Europe |                Belarus |      Lukashenko |           Email |
|21.08.2024 |                           Europe |                Belarus |      Lukashenko |          Parcel |
|23.08.2024 |                           Europe |                Belarus |      Lukashenko |           Email |
|28.04.2029 |           Volokolamskoe avenue 6 |                    Mai |        Pogosyan |           Email |
|28.08.2029 |                           Europe |                Belarus |      Lukashenko |           Email |
|28.08.2029 |                           Europe |                Belarus |      Lukashenko |           Email |
|13.11.2031 |                           Europe |                Belarus |      Lukashenko |           Email |
|         - |                     Okraina rusi |                  Uzbek |            Amir |               - |
|-----------|----------------------------------|------------------------|-----------------|-----------------|
